CB Link ID,Boro,Community Board,Latitude,Longitude,Link Installation Status,Smallest PPT,Street Address,Kiosk Bearing,Boro ID,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Location
LINK-006032,Manhattan,109,40.827193000000001,-73.946443000000002,A - Link Live,100231,500 WEST 148 STREET,10 N,NY-MN,mn-09-100231,8/22/16,07/19/2016,"(40.827193000000001, -73.946443000000002)"
LINK-006033,Manhattan,109,40.827195000000003,-73.946043000000003,A - Link Live,120573,1781 AMSTERDAM AVE,302 NW,NY-MN,mn-09-120573,8/10/16,07/19/2016,"(40.827195000000003, -73.946043000000003)"
LINK-006035,Manhattan,109,40.830367000000003,-73.943721999999994,A - Link Live,131062,1881 AMSTERDAM AVE,301 NW,NY-MN,mn-09-131062,8/8/16,07/19/2016,"(40.830367000000003, -73.943721999999994)"
LINK-006037,Manhattan,112,40.832282999999997,-73.942327000000006,A - Link Live,120463,1941 AMSTERDAM AVE,314 NW,NY-MN,mn-12-120463,7/20/16,07/13/2016,"(40.832282999999997, -73.942327000000006)"
LINK-006038,Manhattan,112,40.832732,-73.942267999999999,A - Link Live,111956,1952 AMSTERDAM AVE,134 SE,NY-MN,mn-12-111956,7/21/16,07/15/2016,"(40.832732, -73.942267999999999)"
LINK-006039,Manhattan,112,40.833447,-73.941739999999996,A - Link Live,120460,1976 AMSTERDAM AVE,,NY-MN,mn-12-120460,7/21/16,07/15/2016,"(40.833447, -73.941739999999996)"
LINK-006040,Manhattan,112,40.833860999999999,-73.941446999999997,A - Link Live,100263,1988 AMSTERDAM AVE,127 SE,NY-MN,mn-12-100263,7/21/16,07/15/2016,"(40.833860999999999, -73.941446999999997)"
LINK-006041,Manhattan,112,40.834246999999998,-73.941163000000003,A - Link Live,111803,2002 AMSTERDAM AVE,133 SE,NY-MN,mn-12-111803,7/21/16,07/15/2016,"(40.834246999999998, -73.941163000000003)"
LINK-006042,Manhattan,112,40.834077999999998,-73.940918999999994,A - Link Live,120458,481 WEST 159 STREET,220 SW,NY-MN,mn-12-120458,7/21/16,07/15/2016,"(40.834077999999998, -73.940918999999994)"
LINK-006043,Manhattan,112,40.834814999999999,-73.940477000000001,A - Link Live,120457,2017 AMSTERDAM AVE,,NY-MN,mn-12-120457,7/21/16,07/15/2016,"(40.834814999999999, -73.940477000000001)"
LINK-006150,Manhattan,107,40.798535000000001,-73.969280999999995,A - Link Live,120273,240 WEST 102 STREET,,NY-MN,mn-07-120273,8/4/16,07/20/2016,"(40.798535000000001, -73.969280999999995)"
LINK-006197,Brooklyn,303,40.679143000000003,-73.925473999999994,A - Link Live,127093,1805 FULTON STREET,,NY-BK,bk-03-127093,1/17/17,12/22/2016,"(40.679143000000003, -73.925473999999994)"
LINK-006861,Queens,406,40.718601999999997,-73.838183999999998,A - Link Live,124181,110-88 QUEENS BLVD,,NY-QN,qu-06-124181,7/29/16,07/20/2016,"(40.718601999999997, -73.838183999999998)"
LINK-006867,Queens,404,40.738109999999999,-73.885717,A - Link Live,124926,77-20 QUEENS BLVD,,NY-QN,qu-04-124926,1/12/17,11/19/2016,"(40.738109999999999, -73.885717)"
LINK-007084,Manhattan,105,40.756614999999996,-73.986577999999994,A - Link Live,122095,699 7TH AVENUE,,NY-MN,mn-05-122095,12/30/16,12/18/2016,"(40.756614999999996, -73.986577999999994)"
LINK-007085,Manhattan,107,40.774262999999998,-73.980941999999999,A - Link Live,120936,157 COLUMBUS AVE,309 NW,NY-MN,mn-07-120936,10/7/16,08/19/2016,"(40.774262999999998, -73.980941999999999)"
LINK-007086,Manhattan,107,40.773657,-73.981403999999998,A - Link Live,120927,147 COLUMBUS AVE,252 W,NY-MN,mn-07-120927,1/11/17,08/11/2016,"(40.773657, -73.981403999999998)"
